item,itemLabel
http://www.wikidata.org/entity/Q6954720,OpenFL
http://www.wikidata.org/entity/Q6955678,NUnitAsp
http://www.wikidata.org/entity/Q7095823,OpenMDX
http://www.wikidata.org/entity/Q7095841,OpenPAM
http://www.wikidata.org/entity/Q7099306,Oracle Multimedia
http://www.wikidata.org/entity/Q7119113,pFUnit
http://www.wikidata.org/entity/Q7135972,Parasoft
http://www.wikidata.org/entity/Q7186771,Phoenix (compiler framework)
http://www.wikidata.org/entity/Q7265613,QUnit
http://www.wikidata.org/entity/Q7272693,Quixote
http://www.wikidata.org/entity/Q7395059,SUnit
http://www.wikidata.org/entity/Q7455975,RDF4J
http://www.wikidata.org/entity/Q7549869,SOAtest
http://www.wikidata.org/entity/Q7573619,Apache Spark
http://www.wikidata.org/entity/Q7705690,Test::More
http://www.wikidata.org/entity/Q7862918,U-Prove
http://www.wikidata.org/entity/Q7922736,Vert.x
http://www.wikidata.org/entity/Q7932391,Vine Toolkit
http://www.wikidata.org/entity/Q7936574,Visual Studio Lab Management
http://www.wikidata.org/entity/Q8044860,xmlbeansxx
http://www.wikidata.org/entity/Q8052438,yeoman
http://www.wikidata.org/entity/Q10851258,Kernel-Mode Driver Framework
http://www.wikidata.org/entity/Q10853917,Lego Mindstorms
http://www.wikidata.org/entity/Q11231802,MOAP
http://www.wikidata.org/entity/Q11239623,Pirka
http://www.wikidata.org/entity/Q13212249,.NET Framework 3.0
http://www.wikidata.org/entity/Q16321264,libGDX
http://www.wikidata.org/entity/Q16689197,WinJS
http://www.wikidata.org/entity/Q16958615,jPlayer
http://www.wikidata.org/entity/Q16972750,Hamcrest
http://www.wikidata.org/entity/Q16973475,KDE Frameworks
http://www.wikidata.org/entity/Q17027461,GlassFish HK2
http://www.wikidata.org/entity/Q17048771,xUnit.net
http://www.wikidata.org/entity/Q17051113,Codename One
http://www.wikidata.org/entity/Q17122950,Unit.js
http://www.wikidata.org/entity/Q17576071,Ionic
http://www.wikidata.org/entity/Q18346290,Mocha
http://www.wikidata.org/entity/Q19442328,Eclipse Sirius
http://www.wikidata.org/entity/Q20072429,Apache Stratos
http://www.wikidata.org/entity/Q20712275,Spock
http://www.wikidata.org/entity/Q20828517,Q20828517
http://www.wikidata.org/entity/Q21041255,G'MIC
http://www.wikidata.org/entity/Q21614124,Electron
http://www.wikidata.org/entity/Q21622213,.NET
http://www.wikidata.org/entity/Q22095753,Monaca
http://www.wikidata.org/entity/Q22908571,Searchlight
http://www.wikidata.org/entity/Q24284216,Google Daydream
http://www.wikidata.org/entity/Q24834697,Entity Framework Core
http://www.wikidata.org/entity/Q25052087,Sentilo Platform
http://www.wikidata.org/entity/Q25100034,WatchKit
http://www.wikidata.org/entity/Q27643379,Caffe
http://www.wikidata.org/entity/Q27652904,Tape
http://www.wikidata.org/entity/Q27867897,Cx Web Framework
http://www.wikidata.org/entity/Q28136655,VIVO
http://www.wikidata.org/entity/Q28154351,NanoSat MO Framework
http://www.wikidata.org/entity/Q28447843,SAP BusinessObjects Lumira
http://www.wikidata.org/entity/Q28457567,Everest
