,name,Pros,Cons
46,Guardian Life Ins. Co. of America,"['""Benefits are good...but expensive....retirement is good... most hired will never see any part of their hard work placed on their behalf towards their retirement."" (in 98 reviews)', '""Work life balance is good"" (in 63 reviews)', '""I worked for this company for 10 years and the people were great and always willing to help when needed."" (in 63 reviews)', '""Have flexible work from home ability as some jobs never really require to come into the office."" (in 43 reviews)', '""Decent pay and not a very difficult job."" (in 40 reviews)']","['""Unfortunately 2 departments have now shut down in Tempe due to horrible retention because of poor management"" (in 61 reviews)', '""Salary is less compared to outside market"" (in 26 reviews)', '""Certain managers essentially relied on the person one step below them in the supervisory hierarchy to pretty much do their job for them"" (in 26 reviews)', '""Senior management also relies heavily on consulting firms to provide guidance and direction; however, senior management is not consistent in or persistent withapplying recommendations to effect the cultural change, sales and financial results they are looking for."" (in 21 reviews)', '""No care to employees, upper management doesn\'t care about you, the only thing they care about is to get the work done."" (in 17 reviews)']"
47,Pioneer Natural Resources,"['""Great benefits and family like community."" (in 60 reviews)', '""Great people and family culture"" (in 23 reviews)', '""Great pay and insurance."" (in 22 reviews)', '""They take care of employees when things are booming."" (in 13 reviews)', '""Great values and culture."" (in 12 reviews)']","['""Management was horrible from the top all the way down."" (in 14 reviews)', '""if you\'re here a certain amount of time you\'re a manager no matter your capabilities"" (in 7 reviews)', '""Had back to back big layoffs (2019"" (in 7 reviews)', '""Long hours in some departments"" (in 5 reviews)', '""None due to the fact all personnel from the top to the bottom have the best communication."" (in 4 reviews)']"
48,AutoZone,"['""The pros of working at Autozone is you get a 20 percent discount and you meet great people"" (in 250 reviews)', '""Good benefits for all the employees"" (in 187 reviews)', '""Great coworkers and the discount"" (in 102 reviews)', '""Flexible schedule and constantly hiring"" (in 71 reviews)', '""The autozone culture is great and inclusive."" (in 60 reviews)']","['""They expect you to be able to be able to do so much for such a low pay."" (in 517 reviews)', '""over all there are so many cons it wold take all day just to list them but the main con is poor management"" (in 239 reviews)', '""The upper management is terrible no matter what store or district you are in."" (in 201 reviews)', '""Long hours and very competitive"" (in 158 reviews)', '""And yet I just helped train two new part time sales associates and a BRAND NEW COMMERCIAL MANAGER."" (in 143 reviews)']"
49,Lam Research,"['""Good benefits relative to industry"" (in 169 reviews)', '""Great people to work with and learn from"" (in 105 reviews)', '""The working group is good and the pay is good"" (in 80 reviews)', '""Small group culture is good"" (in 69 reviews)', '""Strong Core Values"" (in 63 reviews)']","['""no work life balance and too busy"" (in 105 reviews)', '""This means that good techs or engineers become bad managers."" (in 39 reviews)', '""If you don\'t like working a lot or long hours don\'t look here."" (in 23 reviews)', '""life balance due to working every weekend"" (in 20 reviews)', '""Upper management is disconnected."" (in 19 reviews)']"
50,American Family Insurance Group,"['""There are always people and teams you can get along with and have a good work/life balance."" (in 1642 reviews)', '""The benefits are great and the array of what you are eligible for is impressive."" (in 965 reviews)', '""Most of the people are great; I built great friendships with a lot of the people there."" (in 703 reviews)', '""Culture is great and respect among employees is really good"" (in 678 reviews)', '""Pay was good and laid back work"" (in 430 reviews)']","['""Base salary was low but once commission kicked in it was well worth the wait."" (in 325 reviews)', '""Poor management team leads will overlook blatant collection law violations to achieve their teams numbers even to the point of lying to their card members"" (in 261 reviews)', '""The odds of getting and keeping a great manager are slim to none."" (in 144 reviews)', '""Limited growth opportunities and learning"" (in 78 reviews)', '""long hours and schedules include weekends"" (in 63 reviews)']"
51,Illinois Tool Works,"['""Benefits are good and reasonably priced"" (in 127 reviews)', '""Most of the people are great but some are poisonous."" (in 65 reviews)', '""Pay is Good"" (in 40 reviews)', '""Great culture and result driven"" (in 27 reviews)', '""good work life balance most of the time"" (in 19 reviews)']","['""poor management, style was out of the 1960"" (in 38 reviews)', '""Low Salary Increases and no bonuses"" (in 20 reviews)', '""Pay scale is low and poor leadership"" (in 18 reviews)', '""They talk about a collaborative work place but upper management do not follow it."" (in 13 reviews)', '""Typically the poor managers go through lots of turnover for a few years before HR finally steps in."" (in 11 reviews)']"
52,Parker-Hannifin,"['""good benefits and general corporate communciations"" (in 206 reviews)', '""The people worked with were great and very approachable."" (in 186 reviews)', '""Every one was helpfull and freiendly with a good pay."" (in 144 reviews)', '""A great culture and good values"" (in 45 reviews)', '""Good work environment for all"" (in 42 reviews)']","['""Poor management And the top level"" (in 134 reviews)', '""No raises, very poor upper management, bad coffee, you name it."" (in 47 reviews)', '""Top managers disproportionately compensated compared to mid"" (in 28 reviews)', '""Frequent restructuring and layoffs per years"" (in 23 reviews)', '""No communication to non"" (in 19 reviews)']"
53,Otis Worldwide,"['""Flexable, good benefits, always busy"" (in 77 reviews)', '""The people here are great and very supportive."" (in 53 reviews)', '""Brilliant and pay is good"" (in 51 reviews)', '""Balance work life good culture"" (in 27 reviews)', '""Salary was good."" (in 21 reviews)']","['""Bad management and bad attitudes"" (in 64 reviews)', '""No work life balance"" (in 32 reviews)', '""A few managers have been in their positions for a long time and really have no management skills what so ever."" (in 28 reviews)', '""Travel, lack of manager support, lack of structure, poor training, short"" (in 12 reviews)', '""Long hours and not enough help for big jobs"" (in 11 reviews)']"
54,Omnicom Group,"['""Great people that treat you with respect"" (in 31 reviews)', '""Good benefits, especially for long"" (in 11 reviews)', '""Good Pay"" (in 10 reviews)', '""This used to be a great place with good culture."" (in 6 reviews)', '""\'Good guidance from managers, friendly colleagues\'"" (in 5 reviews)']","['""Long hours but he challenge is fine"" (in 10 reviews)', '""Also like many businesses, senior management could be cliquish, some people seemed protected"" (in 4 reviews)', '""You have to do so many different jobs with low salary."" (in 4 reviews)', '""Incredibly poor management."" (in 4 reviews)', '""Disjointed teams"" (in 3 reviews)']"
55,Principal Financial,,
