,name,Pros,Cons
18,FMGlobal,"['""Great benefits and travel opprotunities"" (in 122 reviews)', '""Great people to work with."" (in 33 reviews)', '""Great work life balance"" (in 30 reviews)', '""They have a great benefits package which includes a pension and 401k with match."" (in 29 reviews)', '""Good training and room for growth at FM Global are some of the reason the company benefits from long tenured employees."" (in 24 reviews)']","['""Management doesn\'t care about work"" (in 31 reviews)', '""Bad managers are allowed to remain and poorly manage people/waste money with no repercussions."" (in 22 reviews)', '""Low pay raises."" (in 21 reviews)', '""Salaries are low despite FM having lots in the bank"" (in 17 reviews)', '""They do not have a good work from home program, and their pay is 20"" (in 14 reviews)']"
19,Polaris,"['""Great people and passion for the product"" (in 75 reviews)', '""Good benefits and resources."" (in 64 reviews)', '""Good pay and lots of overtime"" (in 56 reviews)', '""The culture and people I generally work with \'on my level\' are great and the products are cool."" (in 35 reviews)', '""Good work environment"" (in 14 reviews)']","['""there is no work life balance"" (in 42 reviews)', '""Management doesn\'t listen to its workers."" (in 30 reviews)', '""Long hours but nothing over the top and standard for a rapidly growing organization"" (in 17 reviews)', '""No training on many disjointed systems makes it hard to be productive quickly."" (in 15 reviews)', '""Some of the managers have no clue what they are doing and just brown nose their way to the top."" (in 15 reviews)']"
20,Williams-Sonoma,"['""Love having a part time sit down job and the people I work with are great."" (in 234 reviews)', '""Work from home is great"" (in 176 reviews)', '""The benefits are good!"" (in 124 reviews)', '""My coworkers were great and very welcoming."" (in 64 reviews)', '""great team and fun to work at during the Holidays"" (in 52 reviews)']","['""Also there is basically no training given so it\'s hard to feel like you know what you are doing."" (in 206 reviews)', '""Poor management, sups are not trained."" (in 173 reviews)', '""Low pay for such an upscale company; hours became very sparse when the economy began to fail."" (in 161 reviews)', '""The good managers walked out"" (in 89 reviews)', '""Unfortunately, upper management and corporate have expectations that are well beyond unattainable and unrealistic."" (in 82 reviews)']"
21,Autoliv,"['""Great people to work with depending on what department you are in"" (in 48 reviews)', '""Good Benefits especially health care"" (in 43 reviews)', '""Pay is good and people I work with are friendly"" (in 34 reviews)', '""Good Work Environment"" (in 22 reviews)', '""work life balance is good"" (in 18 reviews)']","['""Bad management"" (in 46 reviews)', '""Base salary is low compared to other companies (there are bonuses involved though)"" (in 27 reviews)', '""Upper management and HR seem to be a little to \'equal\' oppertunity."" (in 9 reviews)', '""Lots of work pressure and Standard of work procedure"" (in 7 reviews)', '""While there are many trainings available and advancement paths, sometimes the process seems a little slow."" (in 4 reviews)']"
22,Arthur J. Gallagher,"['""Worked in several areas of the company and my co workers were really great people."" (in 187 reviews)', '""The culture is great and the tools to do my job are phenomenal."" (in 133 reviews)', '""Benefits are good and reasonable from a OOP standpoint."" (in 106 reviews)', '""They are flexible with working remote or hybrid and also making sure you can get good work/life balance."" (in 86 reviews)', '""I am able to work from home and have also been able to adapt my contract hours to suit me."" (in 74 reviews)']","['""Low salary compared to many other firms Timing and calculation of raises for non"" (in 160 reviews)', '""Poor management and fast"" (in 137 reviews)', '""Low pay and company isn’t very willing to give raises (Nevada employees)"" (in 100 reviews)', '""got canceled and no training or experience received"" (in 63 reviews)', '""Nepotism is rampant."" (in 42 reviews)']"
23,Motorola Solutions,"['""Great people and were flexible with work schedule"" (in 291 reviews)', '""They are flexible and have good benefits"" (in 213 reviews)', '""Work life balance and historically good for multiple experiences"" (in 173 reviews)', '""Good culture and process of delivering products"" (in 91 reviews)', '""Good pay very great job"" (in 79 reviews)']","['""Poor management and lost in an ocean"" (in 116 reviews)', '""Low salaries.Benefits not so good."" (in 94 reviews)', '""Work overload, constant layoffs, lack of direction"" (in 86 reviews)', '""To many managers"" (in 47 reviews)', '""Middle management is stuck in the past and not aligned with upper management"" (in 36 reviews)']"
24,Tillow Group,,
25,Opendoor Technologies,"['""The people of Opendoor are great and the company is continually growing year over year."" (in 57 reviews)', '""The company has great benefits and really caterers to their employees."" (in 57 reviews)', '""It is a great culture to be a part of with a company that is changing real estate."" (in 55 reviews)', '""It was a good pay"" (in 25 reviews)', '""The team is great."" (in 15 reviews)']","['""Work/Life balance is challenging"" (in 30 reviews)', '""Management is terrible."" (in 22 reviews)', '""They don’t want people who are incapable of thinking for themselves because often the Area Managers have limited construction knowledge or management skills."" (in 15 reviews)', '""The layoff was very impersonal as it was done on a group zoom for almost 600 people."" (in 7 reviews)', '""Upper management does not have your back!"" (in 5 reviews)']"
26,J.M. Smucker,"['""The people are great and so is the family feel of the company."" (in 76 reviews)', '""Culture and teamwork are great"" (in 62 reviews)', '""Has good benefits and most of the corporate ideals work great"" (in 61 reviews)', '""Good pay and the store inside the plant is awesome."" (in 44 reviews)', '""Good work/life balance"" (in 43 reviews)']","['""Many acquisitions have brought different cultures and poor management"" (in 40 reviews)', '""Lack of leadership"" (in 15 reviews)', '""Poor upper management, company culture has died"" (in 12 reviews)', '""Salaries are not competitive with other companies in our same industry."" (in 12 reviews)', '""Since acquired a year ago, the company has gone through significant changes: new way of doing everything, layoffs, changing org structure etc."" (in 11 reviews)']"
27,Anywhere Real Estate,,
28,Oshkosh,"['""People first culture provides great work life balance and helps you succeed in your role."" (in 61 reviews)', '""Great people to work with at a company that really makes a difference in many lives."" (in 56 reviews)', '""Pay is good for what you do"" (in 41 reviews)', '""Lots of OT @ time and a half Benefits were good until 2013"" (in 34 reviews)', '""Excellent People First Culture (truly a differentiation)"" (in 22 reviews)']","['""Poor management."" (in 16 reviews)', '""Lack of training"" (in 10 reviews)', '""Certain managers do not care what your school schedule is and demand minimum of 30 hours a week while in class and to fit most of those hours in during \'business hours.\'"" (in 8 reviews)', '""Long hours all hands on work"" (in 7 reviews)', '""Insurance could be better and less expensive"" (in 3 reviews)']"
29,MasTec,"['""When i started pay was good and work was steady with a mix of installs and service work."" (in 37 reviews)', '""Great people to work for and beside"" (in 35 reviews)', '""Had really good benefits and paid vacation."" (in 25 reviews)', '""Good money but have to work hard"" (in 9 reviews)', '""You get a nice phone, good training, and a job."" (in 8 reviews)']","['""Poor management with little experience in construction"" (in 32 reviews)', '""The down side to this position is there is no work life balance so if you have a family you will rarely see them."" (in 17 reviews)', '""Bad upper management, always expecting extra miles."" (in 15 reviews)', '""Long hours and company doesn’t recognize them if you could not make money for them"" (in 15 reviews)', '""Supervisors are biased when allocating hours and in technical assistance."" (in 10 reviews)']"
30,GXO Logistics,"['""Pay is good and overtime"" (in 42 reviews)', '""good people to be around"" (in 19 reviews)', '""Benefits were good."" (in 18 reviews)', '""Great opportunities for progression and development"" (in 11 reviews)', '"". Good Salary"" (in 10 reviews)']","['""No work life balance"" (in 16 reviews)', '""Poor management, face fits style of management"" (in 14 reviews)', '""Short notice on schedule change, little mobility and poor training with high standards"" (in 10 reviews)', '""Upper management tries to micro manage our time down to where we have to clock in/out (but then schedules ridiculous amounts of MOT)"" (in 8 reviews)', '""Bad leadership represented at facility"" (in 8 reviews)']"
31,APA,"['""Great benefits such as flexible with a work"" (in 30 reviews)', '""Good work life balance."" (in 13 reviews)', '""Nice people"" (in 13 reviews)', '""Nice, friendly staff with good communication skills"" (in 7 reviews)', '""Coworkers are bright and driven"" (in 4 reviews)']","['""Low salaries for everyone except high level executives"" (in 11 reviews)', '""While I was there, a number of persons (whom I identified as fairly intelligent persons with good work ethic) got tired of the poor management, non"" (in 9 reviews)', '""level managers have a very rigid, authoritarian style."" (in 8 reviews)', '""Low pay was an issue"" (in 8 reviews)', '""Middle to Upper Management is completely inept."" (in 5 reviews)']"
32,Boise Cascade,"['""Benefits are good and no weekends"" (in 31 reviews)', '""Decent pay for licensed electricians."" (in 21 reviews)', '""Great people to work with"" (in 13 reviews)', '""Great benefits, friendly staff, very awesome HR"" (in 5 reviews)', '""Decent salaries and benefits"" (in 5 reviews)']","['""Bad management and superior."" (in 13 reviews)', '""Long hours and 6"" (in 8 reviews)', '""You have to constantly remind/pressure supervisors to give you correct training, or protective equipment."" (in 3 reviews)']"
33,Dover,"['""Work life Balance is good"" (in 19 reviews)', '""Coworkers are good people from the shore."" (in 18 reviews)', '""Good pay is about it"" (in 15 reviews)', '""Great and benefits until company got bought out."" (in 13 reviews)', '""Great culture and supportive."" (in 8 reviews)']","['""Bad Management"" (in 20 reviews)', '""Less salary, No job security, Poor management.Top management only bother about the money and nothing else."" (in 7 reviews)', '""Managers don’t have good technical knowledge."" (in 6 reviews)', '""No respect for employees"" (in 5 reviews)', '""4. Upper management is confused about future goals"" (in 4 reviews)']"
34,Genworth Financial,"['""Benefits are good and every one knows every one as it\'s not a huge company."" (in 110 reviews)', '""great people and they put on a lot of events around town for the interns."" (in 88 reviews)', '""The pay is good."" (in 40 reviews)', '""Great work life balance here"" (in 33 reviews)', '""Genworth has great people and culture"" (in 25 reviews)']","['""The company drives away their most talented people either through layoffs or they leave when they get tired of the games."" (in 49 reviews)', '""Politics and bad management"" (in 35 reviews)', '""Senior Leadership (Richmond) has lost its way"" (in 20 reviews)', '""Too many managers and not enough people to do the work."" (in 18 reviews)', '""Upper management is horrible."" (in 14 reviews)']"
35,Bath & Body Works,,
36,Booz Allen Hamilton Holding,"['""Good benefits and the pace is very slow for those that like to work at a slow pace."" (in 722 reviews)', '""Great people and energy at work"" (in 566 reviews)', '""Great work/life balance and very flexible when it comes to work location for off client site."" (in 472 reviews)', '""Interesting work and Great culture"" (in 236 reviews)', '""Good pay and fast promotions"" (in 225 reviews)']","['""Poor management particularly with career and reporting managers who rule with an iron fist."" (in 215 reviews)', '""Salaries are low and unequal."" (in 210 reviews)', '""Career Managers and senior leadership don\'t seem to care what happens once you\'re placed on a project."" (in 177 reviews)', '""Hope you get a good Manager and not someone who\'s there because of their title."" (in 138 reviews)', '""Long hours and lack of flexibility (at times)"" (in 74 reviews)']"
37,Coinbase Global,"['""Great People and super smart!"" (in 58 reviews)', '""Great benefits awaits you at Coinbase."" (in 55 reviews)', '""pay is good and sufficient"" (in 41 reviews)', '""Core founding team is great!"" (in 26 reviews)', '""The culture is great and Coinbase really wants everyone to succeed in growing the business."" (in 24 reviews)']","['""Bad work life balance and more"" (in 29 reviews)', '""Also the 20% layoffs."" (in 14 reviews)', '""bad management"" (in 10 reviews)', '""They do not care about upward feedback so the bad managers will just float along forever."" (in 8 reviews)', '""up drawbacks like being fast paced environment, changing requirements, wearing multiple hats, long hours...etc."" (in 6 reviews)']"
38,Zimmer Biomet Holdings,"['""Good benefits and paid time off"" (in 178 reviews)', '""The majority of the people I worked with were great and I could tell that they really cared about developing me personally."" (in 156 reviews)', '""Good pay and good IT processes learnings"" (in 94 reviews)', '""Work life balance was great"" (in 60 reviews)', '""Nice company with good culture"" (in 46 reviews)']","['""nothing gets done over the bureaucracy and poor management"" (in 118 reviews)', '""There is no leadership and they pit employees against each other."" (in 38 reviews)', '""Upper management is absent."" (in 35 reviews)', '""There is no communication and the people that are in charge are so busy that they don\'t know what is going on in the departments."" (in 23 reviews)', '""Long hours and night call"" (in 21 reviews)']"
39,Westinghouse Air Break Technologies,,
40,Zoetis,"['""Good Benefits and portfolio."" (in 79 reviews)', '""great people to work with for the most part"" (in 54 reviews)', '""The pay is good for the industry."" (in 31 reviews)', '""Great colleagues with great ideas"" (in 23 reviews)', '""Great work ethics and culture"" (in 21 reviews)']","['""life balance, Poor management"" (in 30 reviews)', '""Upper management either don\'t have a clue what they\'re doing, or they don\'t care about anything except the bottom line."" (in 15 reviews)', '""Inconsistent and weak leadership."" (in 14 reviews)', '""Terrible managers at multiple levels are just passed around, inflicting pain on all in their path."" (in 13 reviews)', '""Alot of favoritism."" (in 10 reviews)']"
41,Packaging Corp. of America,"['""Good pay until you realize you have just sold your soul to disrespectful people who could care less about you."" (in 63 reviews)', '""Good benefits"" (in 52 reviews)', '""Great people to work with that strive to get a lot done!"" (in 40 reviews)', '""Great benefits; Friendly coworkers; generally competitive pay."" (in 10 reviews)', '""Good benefits, good job security, raises every year."" (in 6 reviews)']","['""management does not care about the peoples cpncerns"" (in 27 reviews)', '""No work life balance."" (in 14 reviews)', '""Long hours and 6 days a week"" (in 10 reviews)', '""Upper Management and HR lied and stole from employees"" (in 9 reviews)', '""Some long hours and not the best training but easy to pick up on."" (in 8 reviews)']"
42,LPL Financial Holdings,"['""Great People to work with and for"" (in 100 reviews)', '""Good benefits and personal development resources"" (in 97 reviews)', '""LPL has a Great culture"" (in 52 reviews)', '""Good growth potential and work/life balance"" (in 41 reviews)', '""Awesome new building with lots of amenities (I miss the salad bar) and very centrally located."" (in 29 reviews)']","['""Low pay and failure to reward performance"" (in 67 reviews)', '""Poor Management"" (in 58 reviews)', '""Low salary based on my peers recent job offers in similar fields"" (in 33 reviews)', '""Some managers have no experience"" (in 32 reviews)', '""No training whatsoever."" (in 27 reviews)']"
43,T. Rowe Price,"['""Great benefits and great 9"" (in 267 reviews)', '""The people are great and many cutting edge changes are taking place on a daily basis."" (in 134 reviews)', '""Even though it is a big company it really feels like a family and the culture is great."" (in 106 reviews)', '""Work life balance is good"" (in 87 reviews)', '""Great place to work and great benefits."" (in 35 reviews)']","['""Low pay and change in company culture"" (in 73 reviews)', '""Low salary compared to similar positions at other firms"" (in 67 reviews)', '""It also results in poor management perpetuating itself."" (in 58 reviews)', '""Not all managers are good at management and mentoring of strong associates."" (in 34 reviews)', '""Long hours to work"" (in 22 reviews)']"
44,Fortune Brands Home & Security,"['""Good People both Hourly and Salary"" (in 6 reviews)', '""Good culture"" (in 4 reviews)', '""Great work/life balance"" (in 3 reviews)', '""Great salary ."" (in 3 reviews)', '""Amazing benefits and pay, flexibility, remote"" (in 3 reviews)']",[]
45,Casey's General Stores,"['""The pay is good but not worth the drama"" (in 98 reviews)', '""Great people and the management really listen to you"" (in 77 reviews)', '""My coworkers were great and supportive."" (in 57 reviews)', '""Good benefits after you have been there a year"" (in 49 reviews)', '""This job has flexible hours and works well with whatever your schedule may be."" (in 48 reviews)']","['""Bad management is what stopped me"" (in 97 reviews)', '""No breaks, no free food, minimum wage, hours are assigned to you, managers are always on your case about anything they can think of, to make sure you’re actively working for every moment of your shift."" (in 52 reviews)', '""Poor upper management helping out and leaving while on the clock"" (in 40 reviews)', '""Poor training."" (in 17 reviews)', '""They cut off your hours to 35 and it’s paid 15 a hour some Store Managers or upper District Supersivors the can Fire or block any minute or time not rehire able"" (in 15 reviews)']"
46,A-Mark Precious Metals,,
47,Hess,,
48,Vertex Pharmaceuticals,"['""Great benefits and really want to help patients"" (in 142 reviews)', '""Great people; everyone is very open and willing to help."" (in 84 reviews)', '""It used to have a great culture."" (in 40 reviews)', '""Good pay and office location"" (in 28 reviews)', '""Great colleagues"" (in 26 reviews)']","['""Sr. Management tends to micro manage and constantly accelerate timelines beyond reason."" (in 28 reviews)', '""Poor managers at Sr Director and below."" (in 22 reviews)', '""There is no work life balance"" (in 21 reviews)', '""Fits in with culture of senior leadership disappearing in the middle of the night without a trace"" (in 16 reviews)', '""Upper management uses bully tactics and if your female do not expect to advance into a leadership position."" (in 12 reviews)']"
49,KeyCorp,"['""Good Benefits and set hours"" (in 220 reviews)', '""I feel my pay is good to excellent in the market and compared to other banks."" (in 148 reviews)', '""From most other reviews you can quickly see that there are many great people in operations and sales."" (in 137 reviews)', '""Good work life balance if you are not in Investment Banking"" (in 111 reviews)', '""Great Culture and Place to Work"" (in 74 reviews)']","['""Corporate management is poor"" (in 110 reviews)', '""Manager has no credit experience and has made several HR violations to me personally."" (in 76 reviews)', '""Horrible upper management; some of them don\'t even understand the reports that they use to write up the employees for performance improvement plans."" (in 61 reviews)', '""No training program in place for incoming managers."" (in 55 reviews)', '""Senior leadership is awful and they need to change"" (in 37 reviews)']"
50,Chipotle Mexican Grill,"['""free food and my GM was great but i know not every one had that same experience."" (in 2107 reviews)', '""Free meal everyday you work and and the 50% off when you don\'t work"" (in 871 reviews)', '""The pay is good to be a fast food restaurant and they are pretty good with working around your schedules."" (in 827 reviews)', '""Good benefits (especially if you\'re young and not on your family\'s insurance)."" (in 674 reviews)', '""Great people to work with very fast paced.thats a pro for some one like me"" (in 620 reviews)']","['""Overworked and Bad management can make for a bad time"" (in 1016 reviews)', '""Bad managers and not very flexible"" (in 666 reviews)', '""Long hours that you may have to stand and you could potentially miss a break because of the long lines."" (in 449 reviews)', '""No training due to shortage of employees"" (in 188 reviews)', '""The upper management is horrible and inconsistent"" (in 172 reviews)']"
51,CMS Energy,,
52,Arconic,"['""The pay is good and you really have to do something really back to get fired"" (in 68 reviews)', '""Benefits are good"" (in 68 reviews)', '""great people to work with and for"" (in 50 reviews)', '""Aluminum company and good salary"" (in 13 reviews)', '""Your coworkers, for the most part, are a great group of hardworking individuals."" (in 10 reviews)']","['""The management has no focus"" (in 49 reviews)', '""No work life balance"" (in 27 reviews)', '""upper management is extremely egotistical!"" (in 21 reviews)', '""long hours and slaving a bit"" (in 13 reviews)', '""The bonus plan is below average for managers and turnover is very high."" (in 10 reviews)']"
53,Taylor Morrison Home,"['""Great culture and team environment!"" (in 85 reviews)', '""Benefits are great!"" (in 57 reviews)', '""The people are great and the open communication is encouraged across all departments."" (in 46 reviews)', '""Management always helping the sales people to be successful"" (in 29 reviews)', '""Company respects work/life balance and good benefits."" (in 24 reviews)']","['""Too much upper management."" (in 8 reviews)', '""can be long hours, a lot of corporate reporting"" (in 6 reviews)', '""No time off during November and December but that\'s to be expected in the builder world."" (in 4 reviews)', '""right obvious which creates favoritism for certain employees over others."" (in 3 reviews)']"
54,American Financial Group,,
55,UGI,"['""Good Benefits"" (in 9 reviews)', '""Great culture and place to work."" (in 7 reviews)', '""Plus, the work/life balance is amazing."" (in 7 reviews)', '""Everyone is very friendly and knowledgeable."" (in 5 reviews)', '""People are friendly."" (in 5 reviews)']",[]
