,name,sim_company_1,sim_company_2,sim_company_3,sim_company_4
192,Goldman Sachs Group,Allstate,Ally Financial,Bank of America,Bank of New York Mellon
193,Graphic Packaging Holding,Avery Dennison,Autoliv,Air Products & Chemicals,Advanced Micro Devices
194,Graybar Electric,Avnet,Arrow Electronics,Bank of New York Mellon,Albertsons
195,Group 1 Automotive,AutoZone,Advance Auto Parts,AutoNation,O'Reilly Automotive
196,HCAHealthcare,AbbVie,Baxter International,AmerisourceBergen,Amgen
197,HP,3M,A-Mark Precious Metals,AECOM,AGCO
198,Halliburton,Baker Hughes,Ameren,Air Products & Chemicals,AECOM
199,Hanesbrands,AutoZone,Amazon,Advance Auto Parts,AutoNation
200,Hartford Financial Services Group,AIG,Auto-Owners Insurance,Assurant,Allstate
201,Hasbro,Activision Blizzard,AGCO,AutoNation,Allstate
202,Henry Schein,Aramark,Amgen,AbbVie,AmerisourceBergen
203,Hertz Global Holdings,American Airlines Group,AutoNation,Advance Auto Parts,Ally Financial
204,Hess,Baker Hughes,Ameren,Air Products & Chemicals,Avery Dennison
205,Hewlett Packard Enterpri,3M,A-Mark Precious Metals,AECOM,AGCO
206,Home Depot,Bed Bath & Beyond,BJ's Wholesale Club,Advance Auto Parts,AutoZone
207,Honeywell International,3M,Baker Hughes,AGCO,Applied Materials
208,Honeywell International,3M,Baker Hughes,AGCO,Applied Materials
209,Hormel Foods,Jabil,Applied Materials,Aramark,3M
210,Humana,Allstate,Old Republic International,American Family Insurance Group,AIG
211,Huntsman,AGCO,Beacon Roofing Supply,3M,AECOM
212,IBM,Automatic Data Processing,Avnet,Arrow Electronics,Baker Hughes
213,Icahn Enterprises,Ally Financial,3M,Beacon Roofing Supply,AutoNation
214,Illinois Tool Works,Applied Materials,3M,Jabil,Amgen
215,Ingredion,Archer Daniels Midland,Albertsons,Applied Materials,Advance Auto Parts
216,Intel,Arrow Electronics,Baker Hughes,Automatic Data Processing,Assurant
217,International Flavors & Fragrances,AltriaGroup,Avery Dennison,Bank of New York Mellon,Bath & Body Works
218,International Paper,3M,Avery Dennison,Autoliv,AltriaGroup
219,Interpublic Group,Altice USA,Adobe,AECOM,Ameriprise Financial
220,Intuit,Bank of America,American Express,Ally Financial,Ameriprise Financial
221,J.B. Hunt Transport Services,American Airlines Group,Air Products & Chemicals,AT&T,American Express
222,J.M. Smucker,Avery Dennison,AltriaGroup,Autoliv,AutoZone
223,JPMorgan Chase,Bank of America,Bank of New York Mellon,Ally Financial,Ameriprise Financial
224,Jabil,Applied Materials,3M,AGCO,Avnet
225,Jacobs Engineering Group,AECOM,Baker Hughes,Archer Daniels Midland,Avis Budget Group
226,Jefferies Financial Group,Jefferies Financial Group,Northern Trust,Apollo Global Management,Ally Financial
227,Jefferies Financial Group,Jefferies Financial Group,Northern Trust,Apollo Global Management,Ally Financial
228,Johnson & Johnson,Amgen,AmerisourceBergen,Air Products & Chemicals,AbbVie
229,Jones Financial (Edward Jones),Ally Financial,Bank of America,Bank of New York Mellon,Assurant
230,Jones Lang LaSalle,3M,A-Mark Precious Metals,AECOM,AGCO
231,KBR,AutoNation,Beacon Roofing Supply,Autoliv,AECOM
232,KLA,Advance Auto Parts,Ally Financial,Assurant,Autoliv
233,Kellogg,Albertsons,Archer Daniels Midland,AltriaGroup,Aramark
234,Keurig Dr Pepper,Applied Materials,3M,Amgen,AGCO
235,Kimberly-Clark,AbbVie,Aramark,Amgen,AmerisourceBergen
236,Kinder Morgan,Baker Hughes,Ameren,Bank of America,Arrow Electronics
237,Kohl's,Bath & Body Works,Bed Bath & Beyond,Advance Auto Parts,AutoNation
238,Kraft Heinz,AltriaGroup,Bank of America,Assurant,Aramark
239,Kroger,Bed Bath & Beyond,BJ's Wholesale Club,Albertsons,AutoZone
240,L3Harris Technologies,AECOM,Aramark,Bank of America,AIG
241,Laboratory Corp. of America,AbbVie,Baxter International,AmerisourceBergen,Amgen
242,Lam Research,Applied Materials,AGCO,3M,Air Products & Chemicals
243,Landstar System,Air Products & Chemicals,American Financial Group,Arthur J. Gallagher,Altice USA
244,Leidos Holdings,AECOM,Assurant,Arrow Electronics,Avnet
245,Leidos Holdings,AECOM,Assurant,Arrow Electronics,Avnet
246,Lennar,3M,A-Mark Precious Metals,AECOM,AGCO
247,Liberty Media,Amazon,AutoZone,Activision Blizzard,AT&T
248,Lincoln National,Assurant,Ameriprise Financial,Ally Financial,Prudential Financial
249,Lithia Motors,Advance Auto Parts,AutoNation,AutoZone,Ally Financial
250,Lockheed Martin,3M,Arrow Electronics,American Express,Bank of America
251,Loews,3M,A-Mark Precious Metals,AECOM,AGCO
252,Lumen Technologies,AT&T,Arrow Electronics,AECOM,American Express
253,Lumen Technologies,AT&T,Arrow Electronics,AECOM,American Express
254,Lumen Technologies,AT&T,Arrow Electronics,AECOM,American Express
255,Lumen Technologies,AT&T,Arrow Electronics,AECOM,American Express
256,MGM Resorts International,Archer Daniels Midland,Aramark,Avery Dennison,Activision Blizzard
257,Macy's,BJ's Wholesale Club,Bed Bath & Beyond,Advance Auto Parts,AutoZone
258,Marathon Petroleum,Beacon Roofing Supply,American Family Insurance Group,AmerisourceBergen,AutoZone
259,Markel,Auto-Owners Insurance,Assurant,Ameriprise Financial,AIG
260,Marriott International,Archer Daniels Midland,American Airlines Group,AbbVie,AIG
261,Marriott International,Archer Daniels Midland,American Airlines Group,AbbVie,AIG
262,Marsh & McLennan,American Financial Group,Old Republic International,Arthur J. Gallagher,American Family Insurance Group
263,MasTec,Ameren,AECOM,Baker Hughes,Air Products & Chemicals
264,Masco,Beacon Roofing Supply,Jabil,Applied Materials,3M
265,Massachusetts Mutual Life,New York Life Insurance,Prudential Financial,Prudential Financial,AIG
266,Mastercard,Assurant,American Express,Ally Financial,Bank of America
267,McDonald's,Archer Daniels Midland,Aramark,Bank of America,Allstate
268,McKesson,Amgen,AbbVie,AmerisourceBergen,Baxter International
269,Merck,AbbVie,Amgen,AmerisourceBergen,Baxter International
270,MetLife,AIG,Auto-Owners Insurance,JPMorgan Chase,Bank of America
271,Meta Platforms,Bank of America,AT&T,Auto-Owners Insurance,Albertsons
272,Micron Technology,Applied Materials,Jabil,Arrow Electronics,3M
273,Microsoft,Apple,Arrow Electronics,3M,Automatic Data Processing
274,Moderna,AbbVie,Amgen,AmerisourceBergen,Baxter International
275,Mohawk Industries,Beacon Roofing Supply,American Family Insurance Group,Avis Budget Group,Air Products & Chemicals
276,Mohawk Industries,Beacon Roofing Supply,AGCO,3M,Applied Materials
277,Molina Healthcare,Johnson & Johnson,AmerisourceBergen,AbbVie,Air Products & Chemicals
278,Molson Coors Beverage,Avantor,Albertsons,Avnet,Arthur J. Gallagher
279,Mondelez International,3M,AGCO,Amgen,Applied Materials
280,Mondelez International,3M,AGCO,Amgen,Applied Materials
281,Mondelez International,3M,AGCO,Amgen,Applied Materials
282,Morgan Stanley,Bank of New York Mellon,Bank of America,JPMorgan Chase,Ally Financial
283,Motorola Solutions,AT&T,Arrow Electronics,Altice USA,Baker Hughes
284,Murphy USA,Advance Auto Parts,AutoZone,Bath & Body Works,Aramark
285,Mutual of Omaha Insurance,AIG,Auto-Owners Insurance,Ameriprise Financial,Assurant
286,NCR,American Express,Automatic Data Processing,Arrow Electronics,Bank of America
287,NRG Energy,Baker Hughes,Applied Materials,Ameren,AECOM
288,NRG Energy,Baker Hughes,Applied Materials,Ameren,AECOM
289,NVR,Beacon Roofing Supply,Arthur J. Gallagher,Ameriprise Financial,Apollo Global Management
290,Netflix,Activision Blizzard,Amazon,Apple,AT&T
291,New York Life Insurance,Ameriprise Financial,AIG,American Express,Assurant
292,Newell Brands,Jabil,AGCO,3M,Applied Materials
293,Newmont,3M,AECOM,AGCO,AIG
294,News Corp.,Adobe,Altice USA,American Express,Apple
295,NextEra Energy,Baker Hughes,Ameren,Air Products & Chemicals,AECOM
296,Nike,Bed Bath & Beyond,BJ's Wholesale Club,AutoZone,AGCO
297,Nordstrom,AutoZone,Amazon,Bed Bath & Beyond,Advance Auto Parts
298,Norfolk Southern,American Airlines Group,Air Products & Chemicals,AutoZone,3M
299,Northern Trust,Ameriprise Financial,Bank of America,Bank of New York Mellon,Arthur J. Gallagher
300,Northrop Grumman,Arrow Electronics,3M,Applied Materials,Automatic Data Processing
301,Northwestern Mutual,AIG,Assurant,Ameriprise Financial,Auto-Owners Insurance
302,Nvidia,Advanced Micro Devices,Arrow Electronics,Avnet,Apple
303,O'Reilly Automotive,Advance Auto Parts,AutoNation,3M,AutoZone
304,ODP,Fluor,Veritiv,3M,AECOM
305,ON Semiconductor,Air Products & Chemicals,Applied Materials,Arrow Electronics,3M
306,Occidental Petroleum,Baker Hughes,Ameren,Aramark,Air Products & Chemicals
307,Old Republic International,American Family Insurance Group,American Financial Group,AIG,Auto-Owners Insurance
308,Omnicom Group,Northwestern Mutual,Jones Financial (Edward Jones),AECOM,Adobe
309,Oneok,Ameren,Baker Hughes,Air Products & Chemicals,AECOM
310,Opendoor Technologies,Apollo Global Management,Beacon Roofing Supply,American Financial Group,Jefferies Financial Group
311,Oracle,Arrow Electronics,Automatic Data Processing,Adobe,Bank of New York Mellon
312,Oshkosh,3M,A-Mark Precious Metals,AECOM,AGCO
313,Otis Worldwide,Beacon Roofing Supply,Air Products & Chemicals,AGCO,3M
314,Ovintiv,Ameren,Baker Hughes,3M,AECOM
315,Owens & Minor,Johnson & Johnson,Avnet,Arrow Electronics,Albertsons
316,Owens Corning,Beacon Roofing Supply,Applied Materials,Jabil,3M
317,PBF Energy,Baker Hughes,Ameren,Air Products & Chemicals,American Airlines Group
318,PBF Energy,Baker Hughes,Ameren,Air Products & Chemicals,American Airlines Group
319,PBF Energy,Baker Hughes,Ameren,Air Products & Chemicals,American Airlines Group
320,PG&E,Oneok,Ameren,Baker Hughes,3M
321,PNC Financial Services,JPMorgan Chase,Bank of America,Bank of New York Mellon,Omnicom Group
322,PPG Industries,Air Products & Chemicals,Baker Hughes,Avery Dennison,American Financial Group
323,PPG Industries,Air Products & Chemicals,Baker Hughes,Avery Dennison,American Financial Group
